iter	Passed	Remaining
0	4	4351
1	7	3708
2	9	3199
3	11	2954
4	14	2802
5	16	2694
6	20	2943
7	23	2867
8	25	2784
9	27	2709
10	29	2623
11	31	2553
12	34	2591
13	36	2554
14	38	2507
15	40	2462
16	41	2428
17	43	2392
18	45	2356
19	47	2326
20	50	2351
21	52	2326
22	54	2307
23	56	2285
24	58	2262
25	59	2241
26	61	2221
27	63	2203
28	65	2206
29	68	2201
30	70	2188
31	71	2173
32	73	2156
33	75	2142
34	77	2126
35	79	2116
36	81	2114
37	83	2103
38	84	2093
39	86	2079
40	88	2069
41	90	2059
42	92	2049
43	93	2040
44	95	2034
45	98	2035
46	99	2027
47	101	2019
48	103	2012
49	105	2004
50	107	1997
51	109	1989
52	110	1982
53	113	1988
54	115	1984
55	117	1979
56	119	1974
57	121	1967
58	122	1961
59	124	1956
60	126	1950
61	129	1964
62	132	1974
63	134	1974
64	137	1973
65	139	1969
66	140	1963
67	142	1956
68	145	1967
69	148	1969
70	150	1965
71	152	1963
72	154	1958
73	156	1952
74	157	1946
75	160	1946
76	163	1959
77	166	1966
78	168	1963
79	170	1962
80	172	1956
81	174	1951
82	177	1965
83	181	1977
84	183	1977
85	185	1973
86	187	1967
87	189	1962
88	192	1972
89	195	1972
90	196	1966
91	198	1962
92	200	1957
93	202	1952
94	204	1946
95	206	1942
96	208	1944
97	210	1939
98	212	1935
99	214	1929
100	216	1925
101	218	1921
102	220	1916
103	221	1912
104	224	1916
105	226	1911
106	228	1906
107	230	1902
108	232	1899
109	234	1894
110	236	1890
111	237	1886
112	240	1885
113	242	1881
114	244	1877
115	245	1874
116	247	1870
117	249	1866
118	251	1862
119	253	1857
120	255	1857
121	257	1855
122	259	1853
123	261	1849
124	263	1845
125	265	1841
126	267	1837
127	269	1833
128	271	1831
129	273	1827
130	274	1824
131	276	1820
132	278	1816
133	280	1812
134	282	1809
135	284	1805
136	286	1802
137	288	1800
138	290	1797
139	292	1795
140	294	1792
141	296	1789
142	298	1787
143	300	1783
144	302	1781
145	304	1779
146	306	1777
147	308	1774
148	310	1770
149	312	1768
150	313	1764
151	315	1761
152	317	1758
153	319	1757
154	322	1758
155	324	1757
156	327	1756
157	329	1754
158	331	1751
159	332	1747
160	335	1747
161	337	1746
162	339	1744
163	341	1742
164	343	1738
165	345	1735
166	347	1731
167	349	1728
168	351	1727
169	355	1734
170	357	1732
171	359	1729
172	361	1726
173	363	1723
174	364	1720
175	369	1727
176	371	1725
177	373	1722
178	375	1720
179	376	1716
180	378	1713
181	380	1710
182	383	1710
183	385	1708
184	387	1704
185	388	1702
186	390	1699
187	392	1695
188	394	1692
189	396	1689
190	398	1689
191	400	1687
192	402	1683
193	404	1681
194	406	1678
195	408	1674
196	410	1671
197	411	1668
198	414	1666
199	416	1664
200	417	1661
201	419	1658
202	421	1655
203	423	1652
204	425	1649
205	427	1646
206	429	1644
